"logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast","gene_id","regulation"
-0.687031062793189,5.96249533521839,-3.77220021564787,0.00023480440760682,0.999836154977915,-1.45535296126402,"RRMS_vs_SPMS","ILMN_1773935","NS"
0.931286295714509,6.43535912858621,3.17887918579928,0.00181184452171965,0.999836154977915,-2.42572905398221,"RRMS_vs_SPMS","ILMN_1670576","NS"
-0.520232764283024,8.74454530249395,-3.10372908698787,0.00230010424163189,0.999836154977915,-2.53822370690924,"RRMS_vs_SPMS","ILMN_1715991","NS"
0.362626424237871,6.44019888460555,3.07951594602188,0.00247925726586455,0.999836154977915,-2.57347537454656,"RRMS_vs_SPMS","ILMN_1795435","NS"
-0.396901852032731,7.94744587840759,-2.99750087749799,0.00320177601151317,0.999836154977915,-2.69385958081233,"RRMS_vs_SPMS","ILMN_2199439","NS"
-0.234603034335092,7.40514987146932,-2.99585466874613,0.00321808704284642,0.999836154977915,-2.69624850859194,"RRMS_vs_SPMS","ILMN_1791306","NS"
-0.305904884363512,7.46773780778788,-2.98640109686588,0.0033132456129677,0.999836154977915,-2.70994622103718,"RRMS_vs_SPMS","ILMN_1677041","NS"
-0.207416557169287,9.82249719086037,-2.94151993646733,0.00380133944107793,0.999836154977915,-2.77448631049648,"RRMS_vs_SPMS","ILMN_1750693","NS"
-0.328794776982052,8.69312088669439,-2.91952780600156,0.00406386621786483,0.999836154977915,-2.80581437728572,"RRMS_vs_SPMS","ILMN_1733937","NS"
0.314158408005079,6.37839288960207,2.86802754584963,0.00474494132016063,0.999836154977915,-2.87840692051084,"RRMS_vs_SPMS","ILMN_1747271","NS"
0.268742471359471,6.34769543806255,2.82480313850517,0.00539547202293473,0.999836154977915,-2.93849500093922,"RRMS_vs_SPMS","ILMN_2042941","NS"
-0.405224594949066,6.53800203530681,-2.77440745176656,0.00625603937098023,0.999836154977915,-3.00757671775469,"RRMS_vs_SPMS","ILMN_1665730","NS"
0.248826099224628,6.3035477576873,2.75866600901856,0.0065493879821871,0.999836154977915,-3.02893822791294,"RRMS_vs_SPMS","ILMN_1792173","NS"
-0.305125004034704,7.84844348957087,-2.75475601900763,0.00662416426998544,0.999836154977915,-3.03422812205247,"RRMS_vs_SPMS","ILMN_1903159","NS"
0.359706411487906,6.30341634570598,2.72673711140599,0.00718310375145213,0.999836154977915,-3.07194795097192,"RRMS_vs_SPMS","ILMN_1780268","NS"
0.352054482812151,6.10066461196469,2.72212000481022,0.00727920895904441,0.999836154977915,-3.07813198913895,"RRMS_vs_SPMS","ILMN_1655296","NS"
-0.350689017402663,7.08980228634212,-2.69149190925424,0.0079468013742512,0.999836154977915,-3.11892702191939,"RRMS_vs_SPMS","ILMN_1799128","NS"
0.320607455783093,8.24482262211901,2.68450337032796,0.00810668779255927,0.999836154977915,-3.12817986239611,"RRMS_vs_SPMS","ILMN_1697363","NS"
-0.22937143342339,9.62762656633365,-2.68392002494791,0.00812016446505544,0.999836154977915,-3.12895127787939,"RRMS_vs_SPMS","ILMN_1736510","NS"
0.444879574665599,9.72772300878488,2.67870180191926,0.00824882454228484,0.999836154977915,-3.13627175422523,"RRMS_vs_SPMS","ILMN_2353732","NS"
-0.642699614616571,8.76729383385752,-2.66821975928679,0.00850712337715505,0.999836154977915,-3.15060612553688,"RRMS_vs_SPMS","ILMN_1724533","NS"
-0.190824558931673,7.17188842221448,-2.65451261785026,0.00882636929945906,0.999836154977915,-3.1676525203346,"RRMS_vs_SPMS","ILMN_2153373","NS"
-0.278705318386611,6.52806170076504,-2.64705085513905,0.0090141625693626,0.999836154977915,-3.17741399585949,"RRMS_vs_SPMS","ILMN_1801605","NS"
-0.235059628977416,7.77838455205982,-2.62243590992417,0.009659486796913,0.999836154977915,-3.20944684019194,"RRMS_vs_SPMS","ILMN_1784467","NS"
-0.373147837684598,6.80900407124081,-2.61238857766603,0.00993464370150063,0.999836154977915,-3.22244755219824,"RRMS_vs_SPMS","ILMN_1667201","NS"
0.504557474458804,7.67743167927821,2.59468205074199,0.0104453373568896,0.999836154977915,-3.2456425282462,"RRMS_vs_SPMS","ILMN_2283325","NS"
-0.304044546802993,7.06825393605322,-2.55243227542774,0.0117282449312308,0.999836154977915,-3.29912579423321,"RRMS_vs_SPMS","ILMN_1727184","NS"
-0.408747833719734,6.67878629950849,-2.52756946289719,0.01255352579767,0.999836154977915,-3.33046735858831,"RRMS_vs_SPMS","ILMN_1733680","NS"
-0.699991007135052,5.32776503917843,-2.52628692965821,0.0125974732368699,0.999836154977915,-3.33207681753911,"RRMS_vs_SPMS","ILMN_2116827","NS"
-0.265279785300864,7.38312260260087,-2.52377927743348,0.0126837985143687,0.999836154977915,-3.33522162025245,"RRMS_vs_SPMS","ILMN_1748926","NS"
-0.272637925490441,6.92517347027996,-2.51406135670421,0.0130233541480123,0.999836154977915,-3.34738285462036,"RRMS_vs_SPMS","ILMN_1741175","NS"
0.472755493663834,6.07694603961015,2.51291835519515,0.0130638212250997,0.999836154977915,-3.34881053169884,"RRMS_vs_SPMS","ILMN_1695435","NS"
-0.301634175970801,8.06108375079223,-2.48347641700007,0.0141456592030763,0.999836154977915,-3.3853888687679,"RRMS_vs_SPMS","ILMN_1736796","NS"
-0.342045598742614,6.93176641218557,-2.47953285152839,0.0142964728447183,0.999836154977915,-3.39025954355775,"RRMS_vs_SPMS","ILMN_1811029","NS"
0.443830315270272,6.93184556176152,2.4689952071168,0.0147090175612019,0.999836154977915,-3.40331790879437,"RRMS_vs_SPMS","ILMN_1674590","NS"
