"logFC","AveExpr","t","P.Value","adj.P.Val","B","contrast","gene_id","regulation"
-0.468421871886894,6.80012510993177,-3.82551181727572,0.000193100379666119,0.929841119861138,-1.27328585401618,"SPMS_vs_PPMS","ILMN_1778064","NS"
-0.4527102181575,7.66827480839107,-3.77979867138523,0.000228378022807599,0.929841119861138,-1.35557710151302,"SPMS_vs_PPMS","ILMN_2101930","NS"
-0.204482772539205,9.56175249940607,-3.13689119523517,0.00206688999170014,0.999906338892917,-2.43205281619171,"SPMS_vs_PPMS","ILMN_1776021","NS"
0.176042971275429,11.7129713715989,3.11732467676994,0.00219978412418618,0.999906338892917,-2.46231959108608,"SPMS_vs_PPMS","ILMN_1684293","NS"
0.395947924651207,7.94744587840759,3.08120774347937,0.00246608105315244,0.999906338892917,-2.51778144412868,"SPMS_vs_PPMS","ILMN_2199439","NS"
0.161295896414334,9.64109664916622,3.03183429600875,0.00287847482939907,0.999906338892917,-2.592741884633,"SPMS_vs_PPMS","ILMN_1737025","NS"
0.1975739859617,9.72374830268135,2.97025360891329,0.00348179295412291,0.999906338892917,-2.684833123499,"SPMS_vs_PPMS","ILMN_1651254","NS"
-0.356467347228982,8.67812997952224,-2.96953775962711,0.00348944437363448,0.999906338892917,-2.68589442539576,"SPMS_vs_PPMS","ILMN_1689734","NS"
-0.243798823427654,6.4630576917671,-2.91240803067635,0.0041523559196856,0.999906338892917,-2.76990534978055,"SPMS_vs_PPMS","ILMN_1731609","NS"
0.197980826038016,8.6573854929558,2.81695474060856,0.00552197298546184,0.999906338892917,-2.90721007665422,"SPMS_vs_PPMS","ILMN_1690487","NS"
-0.255151863641737,8.94070629467532,-2.78373238269285,0.00608795255883157,0.999906338892917,-2.95408992051011,"SPMS_vs_PPMS","ILMN_1676665","NS"
0.192967568620405,7.17188842221448,2.76593243906838,0.0064124557455028,0.999906338892917,-2.97901255219595,"SPMS_vs_PPMS","ILMN_2153373","NS"
-0.44421101231999,6.60445530180183,-2.74120330100897,0.00688939365732483,0.999906338892917,-3.01341059936961,"SPMS_vs_PPMS","ILMN_1784040","NS"
-0.221512842859799,12.7454291917841,-2.70563180225176,0.00763200014085904,0.999906338892917,-3.06242624456637,"SPMS_vs_PPMS","ILMN_1744604","NS"
-0.211629222609446,6.58436936400118,-2.69292593971849,0.00791434802491908,0.999906338892917,-3.07980099757232,"SPMS_vs_PPMS","ILMN_1724699","NS"
-0.215371183437756,7.99366358246015,-2.68030608387712,0.00820410766823031,0.999906338892917,-3.09698847175004,"SPMS_vs_PPMS","ILMN_2259495","NS"
-0.157151693593946,9.1457384566,-2.64262067028225,0.00912735691897036,0.999906338892917,-3.14789901312289,"SPMS_vs_PPMS","ILMN_1776173","NS"
-0.250784611407827,8.56207939922064,-2.61459418093938,0.009873643617231,0.999906338892917,-3.18535637300891,"SPMS_vs_PPMS","ILMN_1664826","NS"
-0.158178410500963,7.64835247185342,-2.59215468045018,0.0105102763463708,0.999906338892917,-3.21509674409625,"SPMS_vs_PPMS","ILMN_1730294","NS"
-0.205495917006413,8.19916639746617,-2.59029534880067,0.0105646478150507,0.999906338892917,-3.21755102240393,"SPMS_vs_PPMS","ILMN_1676611","NS"
-1.64505885600478,7.83227981073736,-2.58916318271601,0.0106289954347991,0.999906338892917,-3.22045418700281,"SPMS_vs_PPMS","ILMN_1652342","NS"
-0.243818029616291,8.27180240430799,-2.55161783206332,0.0117544894999538,0.999906338892917,-3.2682562610244,"SPMS_vs_PPMS","ILMN_1767816","NS"
0.195389227465947,8.27289650003147,2.54941645107067,0.0118256902188115,0.999906338892917,-3.27112218084099,"SPMS_vs_PPMS","ILMN_2186877","NS"
-0.151858546036145,9.20145781404195,-2.54737323555499,0.0118921208077608,0.999906338892917,-3.27378025401319,"SPMS_vs_PPMS","ILMN_1743655","NS"
-0.260140782460743,5.91375241628694,-2.5458210396611,0.0119428102337012,0.999906338892917,-3.27579830109644,"SPMS_vs_PPMS","ILMN_1735176","NS"
-0.208218200430645,8.49230836760917,-2.51912179148613,0.0128455360389981,0.999906338892917,-3.31034200340866,"SPMS_vs_PPMS","ILMN_1787248","NS"
-0.431600903226138,6.45491653008772,-2.51598364663793,0.0129555495324031,0.999906338892917,-3.31438119317331,"SPMS_vs_PPMS","ILMN_1696380","NS"
0.266792397643021,8.34815067212791,2.50255960468028,0.0134357188007531,0.999906338892917,-3.33160973630644,"SPMS_vs_PPMS","ILMN_1651385","NS"
-0.286398634605548,8.24482262211901,-2.47097297273134,0.0146287688105857,0.999906338892917,-3.37182844027909,"SPMS_vs_PPMS","ILMN_1697363","NS"
-0.245697695528513,6.95032202002213,-2.46678813714497,0.0147937147929342,0.999906338892917,-3.37712315186607,"SPMS_vs_PPMS","ILMN_2311041","NS"
-0.385354817800184,5.74922754216669,-2.46510546494301,0.0148605030075247,0.999906338892917,-3.37924986063909,"SPMS_vs_PPMS","ILMN_1668984","NS"
-0.163520095211972,10.4938917452681,-2.45874141414497,0.0151155372336402,0.999906338892917,-3.38728172615117,"SPMS_vs_PPMS","ILMN_2099783","NS"
0.199202194096,7.34629677598866,2.45106337182689,0.0154284070099357,0.999906338892917,-3.39694753811023,"SPMS_vs_PPMS","ILMN_1765060","NS"
0.328228277196628,10.2840246830537,2.43403356648066,0.0161453218469072,0.999906338892917,-3.41835634601594,"SPMS_vs_PPMS","ILMN_1784207","NS"
0.827174266466631,5.7837580008382,2.43347000931001,0.0161813473349651,0.999906338892917,-3.41939219414045,"SPMS_vs_PPMS","ILMN_1753648","NS"
