"sample","median_expr","mean_expr","sd_expr","q25","q75","iqr","group","outlier"
"GSM426595",2.65969592276089,2.04652003085277,4.3491283963549,-3.32192809488736,5.11571808508626,8.43764617997362,"Control",FALSE
"GSM426596",2.66725872093687,2.05544967478574,4.34512794690382,-3.32192809488736,5.12643748484895,8.44836557973631,"Control",FALSE
"GSM426597",2.68560560601363,2.08469459262004,4.33178611384128,-3.32192809488736,5.13456288098916,8.45649097587652,"Control",FALSE
"GSM426598",2.67440708966293,2.05689293028309,4.34701215121118,-3.32192809488736,5.13321003116376,8.45513812605112,"Control",FALSE
"GSM426599",2.6702790527306,2.05326408837573,4.34685399644764,-3.32192809488736,5.13054048781741,8.45246858270477,"Control",FALSE
"GSM426600",2.61884110168006,2.02240288290256,4.371600921087,-3.32192809488736,5.16256755028306,8.48449564517042,"Control",FALSE
"GSM426601",2.64608394063293,2.02030963976836,4.37044743992264,-3.32192809488736,5.14245295620158,8.46438105108894,"Control",FALSE
"GSM426602",2.70507285219909,2.08909058637244,4.34928411854158,-3.32192809488736,5.16683370996227,8.48876180484964,"Control",FALSE
"GSM426603",2.62579357604813,2.02024994512629,4.34682685697282,-3.32192809488736,5.09967203133687,8.42160012622424,"Control",FALSE
"GSM426604",2.63744563523027,2.03898619451971,4.34397292839089,-3.32192809488736,5.09565430777398,8.41758240266134,"Control",FALSE
"GSM426605",2.60072623329814,2.01297552921985,4.35328079331528,-3.32192809488736,5.10360002275737,8.42552811764473,"Control",FALSE
"GSM426606",2.68782327780624,2.06764618560935,4.33614748700835,-3.32192809488736,5.10926944719486,8.43119754208222,"Control",FALSE
"GSM426607",2.66824236073305,2.04793683814393,4.36700151954203,-3.32192809488736,5.16054994802453,8.48247804291189,"Control",FALSE
"GSM426608",2.73128437808719,2.1162411228799,4.34954211746883,-3.32192809488736,5.19449701367166,8.51642510855902,"Control",FALSE
"GSM426609",2.75442906114802,2.13314898091613,4.35006433086547,-3.32192809488736,5.21482498656396,8.53675308145132,"Control",FALSE
"GSM426610",2.6853315517597,2.07247381606974,4.35190387039643,-3.32192809488736,5.17060871691423,8.4925368118016,"Control",FALSE
"GSM426611",2.60140830496589,2.01351645429743,4.35050139703641,-3.32192809488736,5.0839948999136,8.40592299480096,"Control",FALSE
"GSM426612",2.66875634795154,2.06745614201986,4.35025238165314,-3.32192809488736,5.14239095141075,8.46431904629811,"Control",FALSE
"GSM426613",2.6913773727307,2.07993381830699,4.34280672427354,-3.32192809488736,5.14112548644715,8.46305358133451,"Control",FALSE
"GSM426614",2.70353203668059,2.08669961077218,4.3385156901569,-3.32192809488736,5.15123669266925,8.47316478755661,"Control",FALSE
"GSM426615",2.65932109993154,2.04591575086958,4.34606250447395,-3.32192809488736,5.12475337326388,8.44668146815124,"Control",FALSE
"GSM426616",2.63565108914282,2.02556046879409,4.34995588577867,-3.32192809488736,5.10604107147449,8.42796916636185,"Control",FALSE
"GSM426617",2.62999615727786,2.03734107890824,4.34174324724272,-3.32192809488736,5.10065813439689,8.42258622928425,"Control",FALSE
"GSM426618",2.62964524606491,2.02613298136372,4.3514058223051,-3.32192809488736,5.10138406311393,8.42331215800129,"Control",FALSE
"GSM426619",2.66442526221772,2.04312340838202,4.34543755501232,-3.32192809488736,5.09881261035675,8.42074070524411,"Control",FALSE
"GSM426620",2.62140264260084,2.01666058631647,4.35923028634738,-3.32192809488736,5.10823180823533,8.43015990312269,"Control",FALSE
"GSM426621",2.6963246151561,2.07648569260336,4.34315932373004,-3.32192809488736,5.13153453587677,8.45346263076413,"Control",FALSE
"GSM426622",2.68292852581228,2.07095397081708,4.3343084981668,-3.32192809488736,5.12480909916056,8.44673719404792,"Control",FALSE
"GSM426623",2.72687937229786,2.09786091011669,4.34348640141541,-3.32192809488736,5.16735350969157,8.48928160457894,"Control",FALSE
"GSM426624",2.63740957554425,2.03195212008484,4.35917826936405,-3.32192809488736,5.12953052073987,8.45145861562723,"Control",FALSE
