"group","n_samples","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd"
"Control",45,0.316232765225205,16.639060657981,4.45112963934156,13.3535146844552,3.69934391678844,11.2287956594964
"PPMS",43,-0.312142116431204,17.1465331186446,-3.38345000331083,15.4001786287567,-0.355479090222355,12.0866232720459
"RRMS",36,-0.488919200942601,19.3108069052875,0.779403683162168,15.40650182422,-2.49787931902059,13.9638955872742
"SPMS",20,0.839636390267101,21.3433754632898,-4.14355081109212,21.0398615161695,-3.06306099455885,13.9362480672061
